Liebig's	VVIMP	Liebig's
ist	VAFIN	sein
ganz	ADV	ganz
richtig	ADJD	richtig
,	$,	,
nur	ADV	nur
beweist	VVFIN	beweisen
sie	PPER	sie
das	PDS	die
nicht	PTKNEG	nicht
,	$,	,
was	PWS	was
damit	PAV	damit
bewiesen	VVPP	beweisen
werden	VAINF	werden
soll	VMFIN	sollen
,	$,	,
nämlich	ADV	nämlich
die	ART	die
Löslichkeit	NN	Löslichkeit
des	ART	die
Humus	NN	Humus
.	$.	.
Dieses	PDAT	dies
braune	ADJA	braun
Extract	NN	Extract
enthält	VVFIN	enthalten
,	$,	,
wie	KOUS	wie
Berzelius	NE	Berzelius
ausdrücklich	ADJD	ausdrücklich
anführt	VVFIN	anführen
,	$,	,
Ammoniak	NN	Ammoniak
,	$,	,
kann	VMFIN	können
also	ADV	also
nur	ADV	nur
an	APPR	an
Orten	NN	Ort|Orten
gefunden	VVPP	finden
werden	VAINF	werden
,	$,	,
wo	PWAV	wo
animalischer	ADJA	animalisch
Dünger	NN	Dünger
hingekommen	VVPP	hinkommen
ist	VAFIN	sein
.	$.	.
Hätte	VAFIN	haben
Sch	VVFIN	Sch
.	$.	.
Waldboden	NN	Waldboden
,	$,	,
oder	KON	oder
,	$,	,
wie	KOUS	wie
dies	PDS	dies
sowohl	KON	sowohl
Berzelius	NE	Berzelius
als	KON	als
L.	NE	L.
gethan	NE	gethan
haben	VAFIN	haben
,	$,	,
in	APPR	in
Humus	NN	Humus
übergegangenes	ADJA	übergegangenes
Holz	NN	Holz
ausgezogen	VVPP	ausziehen
,	$,	,
so	ADV	so
würde	VAFIN	werden
er	PPER	er
dieses	PDAT	dies
braune	ADJA	braun
Extract	NN	Extract
nicht	PTKNEG	nicht
erhalten	VVPP	erhalten
haben	VAINF	haben
.	$.	.
Seite	NN	Seite
12	CARD	@card@
versichert	VVFIN	versichern
uns	PPER	wir
Sch	ADJD	Sch
.	$.	.
,	$,	,
dass	KOUS	dass
Rechnungen	NN	Rechnung
,	$,	,
wie	KOUS	wie
sie	PPER	sie
L.	NE	L.
anstelle	VVFIN	anstellen
,	$,	,
auf	APPR	auf
zu	PTKA	zu
unsichern	ADJA	unsicher
Basen	NN	Base|Basis
beruhten	VVFIN	beruhen
,	$,	,
um	KOUI	um
mehr	ADV	mehr
als	KOKOM	als
Spielerei	NN	Spielerei
zu	PTKZU	zu
sein	VAINF	sein
;	$.	;
dabei	PAV	dabei
wählt	VVFIN	wählen
er	PPER	er
aber	ADV	aber
ununglücklicher	ADJA	ununglücklicher
Weise	NN	Weise
,	$,	,
als	KOKOM	als
Beispiel	NN	Beispiel
für	APPR	für
seine	PPOSAT	sein
Behauptung	NN	Behauptung
,	$,	,
gerade	ADV	gerade
eine	ART	eine
solche	PIAT	solche
Rechnung	NN	Rechnung
,	$,	,
welche	PRELS	welche
mit	APPR	mit
der	ART	die
vollkommensten	ADJA	vollkommen
Gewissheit	NN	Gewissheit
beweist	VVFIN	beweisen
,	$,	,
was	PRELS	was
bewiesen	VVPP	beweisen
werden	VAINF	werden
soll	VMFIN	sollen
.	$.	.
